Benchmark,Data Cache,D$ Bytes Read,D$ Bytes Written,D$ Read Accesses,D$ Write Accesses,D$ Read Misses,D$ Write Misses,D$ Writebacks,D$ Miss Rate
bfs_matrix,256:1:16,7639783,4340310,1912534,1085235,276229,267605,278352,18.141%
bfs_pointer,256:1:16,297361,132180,76933,33192,4327,5614,6646,9.027%
conv2D,256:1:16,3325479,1220578,833940,305293,14339,16174,16524,2.678%
fir,256:1:16,27163089,15053144,6793348,3763456,163184,121185,123615,2.694%
kmean,256:1:16,39450765,8338606,9865279,2084826,393916,36079,40805,3.598%
mm,256:1:16,8399467,4416818,2102419,1104347,424059,23108,23774,13.944%
quicksort,256:1:16,12497859,12511653,3128446,3131433,220811,133374,258132,5.658%
sobel,256:1:16,5781465,2145012,1818292,538346,38306,50311,51814,3.760%
bfs_matrix,512:1:16,7639783,4340310,1912534,1085235,266693,261063,268276,17.605%
bfs_pointer,512:1:16,297361,132180,76933,33192,3386,5508,6362,8.076%
conv2D,512:1:16,3325479,1220578,833940,305293,11665,12963,13282,2.162%
fir,512:1:16,27163089,15053144,6793348,3763456,100639,112265,113806,2.017%
kmean,512:1:16,39450765,8338606,9865279,2084826,376109,32643,34926,3.420%
mm,512:1:16,8399467,4416818,2102419,1104347,411225,17339,17584,13.364%
quicksort,512:1:16,12497859,12511653,3128446,3131433,171284,102352,204062,4.371%
sobel,512:1:16,5781465,2145012,1818292,538346,31697,49235,49813,3.434%
bfs_matrix,1024:1:16,7639783,4340310,1912534,1085235,259633,258624,262827,17.288%
bfs_pointer,1024:1:16,297361,132180,76933,33192,2377,5306,5829,6.977%
conv2D,1024:1:16,3325479,1220578,833940,305293,6783,11746,11321,1.626%
fir,1024:1:16,27163089,15053144,6793348,3763456,64561,107141,107255,1.626%
kmean,1024:1:16,39450765,8338606,9865279,2084826,360737,30957,31472,3.278%
mm,1024:1:16,8399467,4416818,2102419,1104347,331782,16965,16738,10.875%
quicksort,1024:1:16,12497859,12511653,3128446,3131433,131668,79779,161528,3.378%
sobel,1024:1:16,5781465,2145012,1818292,538346,28915,48371,47935,3.280%
bfs_matrix,2048:1:16,7639783,4340310,1912534,1085235,256898,256282,258488,17.119%
bfs_pointer,2048:1:16,297361,132180,76933,33192,1838,5130,4671,6.327%
conv2D,2048:1:16,3325479,1220578,833940,305293,4696,10907,9802,1.370%
fir,2048:1:16,27163089,15053144,6793348,3763456,47786,103928,102947,1.437%
kmean,2048:1:16,39450765,8338606,9865279,2084826,356050,29842,28893,3.229%
mm,2048:1:16,8399467,4416818,2102419,1104347,290604,16628,15767,9.581%
quicksort,2048:1:16,12497859,12511653,3128446,3131433,59804,62111,96112,1.948%
sobel,2048:1:16,5781465,2145012,1818292,538346,27613,47790,46083,3.200%
bfs_matrix,4096:1:16,7639783,4340310,1912534,1085235,255728,255667,257199,17.059%
bfs_pointer,4096:1:16,297361,132180,76933,33192,137,4960,946,4.628%
conv2D,4096:1:16,3325479,1220578,833940,305293,2732,10717,7665,1.181%
fir,4096:1:16,27163089,15053144,6793348,3763456,39423,102410,101134,1.344%
kmean,4096:1:16,39450765,8338606,9865279,2084826,345803,29336,27926,3.139%
mm,4096:1:16,8399467,4416818,2102419,1104347,118810,16452,14513,4.218%
quicksort,4096:1:16,12497859,12511653,3128446,3131433,29955,50610,69437,1.287%
sobel,4096:1:16,5781465,2145012,1818292,538346,26648,47527,45011,3.147%
bfs_matrix,8192:1:16,7639783,4340310,1912534,1085235,254908,255371,256527,17.022%
bfs_pointer,8192:1:16,297361,132180,76933,33192,92,4941,17,4.570%
conv2D,8192:1:16,3325479,1220578,833940,305293,135,10114,1956,0.900%
fir,8192:1:16,27163089,15053144,6793348,3763456,35233,101642,100242,1.297%
kmean,8192:1:16,39450765,8338606,9865279,2084826,8787,29079,27224,0.317%
mm,8192:1:16,8399467,4416818,2102419,1104347,9463,15202,9245,0.769%
quicksort,8192:1:16,12497859,12511653,3128446,3131433,10533,42397,43309,0.846%
sobel,8192:1:16,5781465,2145012,1818292,538346,2227,26067,19116,1.201%
bfs_matrix,16384:1:16,7639783,4340310,1912534,1085235,253695,255199,256103,16.976%
bfs_pointer,16384:1:16,297361,132180,76933,33192,92,4941,17,4.570%
conv2D,16384:1:16,3325479,1220578,833940,305293,92,10062,18,0.891%
fir,16384:1:16,27163089,15053144,6793348,3763456,16828,101255,99795,1.119%
kmean,16384:1:16,39450765,8338606,9865279,2084826,939,21000,5037,0.184%
mm,16384:1:16,8399467,4416818,2102419,1104347,101,14935,29,0.469%
quicksort,16384:1:16,12497859,12511653,3128446,3131433,1450,39391,23853,0.652%
sobel,16384:1:16,5781465,2145012,1818292,538346,260,21738,5418,0.933%
bfs_matrix,32768:1:16,7639783,4340310,1912534,1085235,249230,255045,255684,16.822%
bfs_pointer,32768:1:16,297361,132180,76933,33192,92,4941,17,4.570%
conv2D,32768:1:16,3325479,1220578,833940,305293,92,10062,18,0.891%
fir,32768:1:16,27163089,15053144,6793348,3763456,16397,85640,68527,0.967%
kmean,32768:1:16,39450765,8338606,9865279,2084826,157,20875,79,0.176%
mm,32768:1:16,8399467,4416818,2102419,1104347,101,14935,27,0.469%
quicksort,32768:1:16,12497859,12511653,3128446,3131433,475,38749,6162,0.627%
sobel,32768:1:16,5781465,2145012,1818292,538346,160,21646,82,0.925%
bfs_matrix,65536:1:16,7639783,4340310,1912534,1085235,234360,254957,255356,16.323%
bfs_pointer,65536:1:16,297361,132180,76933,33192,92,4941,17,4.570%
conv2D,65536:1:16,3325479,1220578,833940,305293,92,10062,18,0.891%
fir,65536:1:16,27163089,15053144,6793348,3763456,461,69006,3550,0.658%
kmean,65536:1:16,39450765,8338606,9865279,2084826,157,20875,79,0.176%
mm,65536:1:16,8399467,4416818,2102419,1104347,101,14935,27,0.469%
quicksort,65536:1:16,12497859,12511653,3128446,3131433,232,38620,161,0.621%
sobel,65536:1:16,5781465,2145012,1818292,538346,160,21646,82,0.925%
bfs_matrix,131072:1:16,7639783,4340310,1912534,1085235,183329,254869,245718,14.617%
