Data Cache,Mean
32768:2:32,0.537679192
65536:1:32,0.544392597
16384:4:32,0.545745617
8192:08:32,0.546754349
32768:1:32,0.552176453
4096:16:32,0.552199029
2048:32:32,0.554269539
16384:2:32,0.55946898
8192:04:32,0.561326106
4096:08:32,0.570947933
8192:02:32,0.576930149
2048:16:32,0.577866934
16384:1:32,0.582283974
1024:32:32,0.582738142
4096:04:32,0.599966823
8192:01:32,0.602280364
2048:08:32,0.611956122
1024:16:32,0.621159237
512:32:32,0.621764618
4096:02:32,0.639239192
2048:04:32,0.668159452
1024:08:32,0.683750499
512:16:32,0.688424113
256:32:32,0.696070425
4096:01:32,0.776698561
2048:02:32,0.780933611
1024:04:32,0.813457104
128:32:32,0.828454509
512:08:32,0.831275068
256:16:32,0.842252125
65536:2:16,1.074972466
131072:1:16,1.080026357
32768:4:16,1.090966722
16384:8:16,1.091622585
65536:1:16,1.095449415
8192:16:16,1.102466082
4096:32:16,1.107502943
32768:2:16,1.118682501
16384:4:16,1.12095019
8192:08:16,1.142233162
16384:2:16,1.150900031
128:16:32,1.153879988
32768:1:16,1.155178504
4096:16:16,1.156005523
64:32:32,1.160769595
2048:32:16,1.16096939
16384:1:16,1.191440635
8192:04:16,1.196079882
4096:08:16,1.221488982
2048:16:16,1.23633644
1024:32:16,1.244932253
8192:02:16,1.27494087
4096:04:16,1.33383052
2048:08:16,1.364272961
1024:16:16,1.379267227
512:32:16,1.384398404
256:08:32,1.407798126
512:04:32,1.441431244
8192:01:16,1.475710035
1024:02:32,1.520970062
4096:02:16,1.555056843
64:16:32,1.59580628
128:08:32,1.595881434
32:32:32,1.602928613
2048:04:16,1.615985526
256:32:16,1.646705042
1024:08:16,1.651510128
512:16:16,1.676994614
2048:01:32,1.679854607
256:04:32,1.751783492
512:02:32,1.860598216
64:08:32,1.932057512
128:04:32,1.941546811
32:16:32,1.944526372
16:32:32,1.960639321
256:02:32,2.086250085
64:04:32,2.229267899
32:08:32,2.254577102
16:16:32,2.27357996
256:16:16,2.281835715
8:32:32,2.286061199
128:32:16,2.292856465
128:02:32,2.353054569
1024:01:32,2.578189252
512:08:16,2.744044004
1024:04:16,2.746559017
2048:02:16,2.768103744
32:04:32,2.768620439
16:08:32,2.776383239
8:16:32,2.792636009
4:32:32,2.800601199
64:02:32,2.843086768
4096:01:16,3.008992868
256:08:16,3.062289558
128:16:16,3.090196698
64:32:16,3.107837488
512:01:32,3.169144811
512:04:16,3.323781224
1024:02:16,3.362073616
256:04:16,3.601736557
128:08:16,3.628024654
512:02:16,3.667281368
64:16:16,3.668958619
32:32:16,3.683944342
2048:01:16,3.77362658
256:01:32,3.848176867
256:02:16,4.033855771
128:04:16,4.049120121
64:08:16,4.10637835
32:16:16,4.14674918
16:32:16,4.157539682
1024:01:16,4.34038529
128:01:32,4.547107166
128:02:16,4.673121304
64:04:16,4.696262722
32:08:16,4.725389593
16:16:16,4.745743806
8:32:16,4.758130522
512:01:16,5.053499182
256:01:16,5.788806314
