length, N^3, ijk, kij, jki
200, 8000000, 13265232, 15194854, 15535669
400, 64000000, 282241762, 122486362, 611995953
600, 216000000, 1413379992, 430416897, 2771660625
800, 512000000, 3436501655, 1584957115, 6405224655
1000, 1000000000, 7762049160, 4370770193, 14171845054
1200, 1728000000, 13580218457, 7882358157, 25974391156
1400, 2744000000, 22867813358, 12469303327, 41856427683
1600, 4096000000, 36890647600, 18840989493, 66183638635
1800, 5832000000, 51534853639, 26703807672, 95525458997
2000, 8000000000, 76674041602, 36125651744, 137088418753
